group,year,date,isFemale,focalID,adult1,adult2,adult3,adult4
4,2016,10/4/2016,0,M208,,,,
3,2017,4/13/2017,1,M346,,,,
3,2018,10/3/2018,1,M496,M073,M030,M077,
3,2019,9/20/2019,0,M044,M376,,,
4,2018,2/7/2018,0,M147,,,,
4,2017,12/11/2017,1,M149,,,,
1,2016,2/8/2016,1,M346,,,,
1,2016,5/28/2016,1,M258,,,,
4,2019,9/9/2019,1,M218,M168,,,
4,2018,10/26/2018,0,M145,,,,
3,2013,11/11/2013,1,M027,,,,
1,2015,7/10/2015,1,M395,,,,
1,2015,3/23/2015,0,M376,,,,
3,2018,6/21/2018,0,M010,M237,,,
1,2015,4/8/2015,1,M391,,M382,,
4,2019,7/30/2019,1,M508,,,,
1,2017,3/19/2017,0,M352,,,,
1,2018,5/24/2018,0,M376,,,,
1,2015,8/30/2015,1,M384,M294,,,
4,2018,4/8/2018,1,M166,,,,
4,2017,5/11/2017,0,M249,,,,
4,2017,6/20/2017,1,M550,,,,
3,2018,6/15/2018,0,M033,M053,M027,,
1,2018,3/8/2018,1,M282,,,,
2,2014,4/14/2014,0,M442,,,,
4,2018,9/12/2018,0,M240,,,,
2,2015,6/3/2015,0,M449,,,,
1,2016,3/28/2016,0,M279,,,,
3,2017,1/25/2017,0,M093,,,,
1,2016,3/26/2016,0,M288,,,,
3,2019,9/13/2019,0,M073,M078,M014,,
3,2018,5/15/2018,0,M081,M063,,,
2,2013,7/28/2013,1,M418,,,,
3,2019,2/6/2019,1,M049,,,,
3,2018,3/3/2018,0,M090,M042,,,
4,2018,2/15/2018,1,M225,,,,
4,2017,5/2/2017,1,M155,,,,
4,2018,3/2/2018,0,M215,,,,
4,2018,4/17/2018,1,M200,,,,
1,2017,6/6/2017,1,M185,,,,
1,2016,3/12/2016,1,M272,M260,,,
3,2015,8/3/2015,1,M002,,M029,,
4,2017,3/13/2017,1,M166,,,,
3,2017,8/26/2017,0,M376,M009,,,
4,2014,9/4/2014,0,M151,,,,
4,2019,8/28/2019,0,M244,,,,
1,2018,11/21/2018,0,M394,,,,
3,2018,5/8/2018,0,M110,M496,,,
1,2017,7/23/2017,1,M326,,,,
3,2018,4/19/2018,0,M014,M071,,,
3,2019,9/26/2019,1,M030,M063,,,
1,2016,6/6/2016,1,M401,,,,
2,2015,4/29/2015,1,M431,,,,
1,2016,2/14/2016,0,M361,,,,
1,2015,9/10/2015,0,M337,,,,
1,2014,9/29/2014,1,M286,,,,
3,2018,8/22/2018,1,M075,,,,
4,2017,9/28/2017,1,M131,,,,
4,2016,9/19/2016,1,M137,,,,
4,2017,7/8/2017,0,M192,,,,
3,2017,9/10/2017,0,M093,M002,,,
3,2018,7/23/2018,0,M081,,,,
3,2015,3/14/2015,0,M014,,,,
1,2016,8/3/2016,1,M306,,M325,,
4,2019,2/3/2019,0,M226,,,,
4,2017,9/30/2017,0,M151,,,,
3,2018,1/18/2018,0,M011,M044,,,
4,2017,4/12/2017,1,M218,,,,
4,2017,4/25/2017,1,M134,,,,
4,2019,3/27/2019,1,M216,,,,
3,2013,10/22/2013,0,M025,,,,
3,2019,7/18/2019,0,M054,M018,,,
3,2016,5/19/2016,1,M047,,,,
4,2019,9/19/2019,0,M227,,,,
4,2019,1/18/2019,1,M236,,,,
4,2018,5/23/2018,1,M236,,,,
3,2017,3/28/2017,0,M010,M060,,,
1,2014,2/24/2014,0,M314,,,,
4,2017,8/18/2017,0,M202,,,,
3,2017,7/26/2017,0,M104,M042,,,
4,2017,6/14/2017,1,M231,,,,
4,2018,4/17/2018,1,M190,M221,,,
4,2016,4/5/2016,1,M141,,,,
4,2019,8/18/2019,0,M120,M246,M131,M179,
4,2014,6/3/2014,0,M189,,,,
4,2019,6/29/2019,0,M222,,,,
2,2014,5/6/2014,0,M435,M430,,,
4,2018,12/6/2018,0,M211,,,,
3,2018,4/28/2018,1,M494,,,,
4,2019,5/10/2019,0,M161,,,,
3,2019,1/24/2019,1,M035,,,,
1,2016,3/20/2016,1,M389,,,,
3,2016,8/22/2016,0,M038,,,,
1,2016,6/22/2016,0,M376,,,,
1,2016,3/20/2016,1,M286,,,,
2,2015,9/15/2015,0,M446,,M440,,
4,2017,8/5/2017,1,M150,,,,
3,2019,8/8/2019,0,M086,M080,,,
2,2015,4/25/2015,1,M417,,,,
4,2016,7/4/2016,1,M214,,,,
1,2016,2/28/2016,0,M302,,,,
2,2015,5/13/2015,1,M451,,,,
3,2019,8/22/2019,1,M082,M091,M021,M042,
4,2018,10/5/2018,1,M144,,,,
4,2016,5/28/2016,0,M226,,,,
3,2019,2/28/2019,0,M025,,,,
4,2017,5/15/2017,1,M184,,,,
1,2016,10/6/2016,1,M273,,,,
4,2014,10/13/2014,0,M197,,,,
3,2018,1/14/2018,0,M081,M082,M017,,
4,2017,5/28/2017,1,M204,,,,
3,2017,2/1/2017,0,M073,M496,,,
1,2016,7/1/2016,0,M294,,,,
3,2013,9/18/2013,1,M030,,,,
1,2016,3/2/2016,1,M338,,,,
4,2016,6/1/2016,0,M212,,,,
3,2014,8/6/2014,1,M003,,,,
4,2017,3/10/2017,0,M132,,,,
1,2016,8/9/2016,1,M399,,,,
4,2014,5/3/2014,0,M142,,,,
3,2018,3/20/2018,1,M062,,,,
3,2017,3/11/2017,0,M036,M017,,,
3,2019,7/23/2019,0,M010,M021,M035,,
1,2015,9/24/2015,1,M362,,,,
3,2018,6/20/2018,0,M090,,,,
3,2018,4/25/2018,0,M014,M022,M082,,
2,2014,9/18/2014,1,M424,,,,
2,2014,9/24/2014,0,M436,,,,
4,2019,9/5/2019,0,M213,,,,
4,2016,6/11/2016,0,M147,,,,
4,2015,3/22/2015,1,M206,,,,
3,2018,7/17/2018,0,M011,M009,M093,,
4,2017,7/10/2017,0,M240,M233,,,
4,2016,4/13/2016,1,M131,,,,
1,2016,6/11/2016,0,M360,,,,
3,2017,8/19/2017,1,M002,M062,,,
3,2019,8/29/2019,0,M074,M005,,,
3,2017,8/30/2017,1,M021,M011,M079,M017,
3,2017,5/10/2017,1,M021,,,,
3,2014,8/17/2014,1,M051,,,,
3,2018,8/11/2018,1,M062,M090,,,
2,2013,5/3/2013,1,M432,,,,
4,2017,7/10/2017,1,M218,M227,,,
3,2017,3/27/2017,1,M027,M035,M078,,
3,2017,3/6/2017,1,M053,M091,,,
4,2019,5/18/2019,0,M192,,,,
2,2016,10/5/2016,1,M470,,,,
3,2019,4/27/2019,0,M060,M075,M082,,
4,2016,4/6/2016,0,M169,,,,
1,2017,6/17/2017,1,M313,,,,
3,2014,7/24/2014,0,M020,,,,
4,2017,3/28/2017,1,M182,,,,
3,2019,2/2/2019,0,M104,M047,,,
4,2019,6/16/2019,0,M179,,,,
2,2014,7/10/2014,1,M440,,,,
3,2018,7/5/2018,0,M041,M021,M035,M091,M053
3,2018,7/11/2018,0,M081,M013,M073,,
1,2017,2/1/2017,0,M256,,,,
4,2017,5/2/2017,1,M150,,,,
1,2016,7/21/2016,0,M294,,,,
1,2018,2/23/2018,0,M360,,,,
1,2014,7/22/2014,1,M263,,,,
3,2019,9/4/2019,0,M010,,,,
4,2018,1/27/2018,0,M226,,,,
1,2014,6/1/2014,0,M298,,,,
3,2017,4/16/2017,1,M062,,,,
3,2017,2/4/2017,0,M086,M003,,,
4,2019,7/12/2019,0,M242,,,,
1,2017,10/8/2017,1,M346,,,,
3,2013,9/19/2013,0,M013,,,,
4,2016,3/22/2016,0,M180,,,,
4,2015,5/3/2015,0,M174,,,,
1,2016,1/24/2016,0,M270,,M276,,
4,2015,7/15/2015,0,M186,,,,
4,2019,8/12/2019,1,M204,,,,
2,2013,9/11/2013,1,M427,,,,
3,2018,3/23/2018,0,M252,M047,,,
1,2015,6/17/2015,0,M354,,,,
3,2017,6/18/2017,0,M237,,,,
3,2018,6/27/2018,0,M014,M011,M071,M020,M034
4,2018,5/17/2018,0,M148,M050,,,
3,2019,4/2/2019,1,M032,,,,
3,2018,6/12/2018,1,M077,,M075,,
3,2018,8/18/2018,1,M042,,,,
3,2018,1/19/2018,0,M091,M090,M049,M086,
3,2017,8/25/2017,0,M010,M091,M044,M016,
4,2019,4/9/2019,1,M040,,,,
3,2019,2/26/2019,1,M002,,,,
4,2019,9/11/2019,0,M229,,,,
4,2018,5/22/2018,1,M554,M130,,,
4,2018,8/19/2018,1,M182,,,,
3,2018,3/30/2018,1,M082,,,,
1,2016,2/8/2016,0,M368,,,,
4,2016,7/12/2016,1,M184,,,,
4,2016,9/7/2016,1,M144,,,,
3,2019,1/26/2019,1,M082,M044,,,
3,2018,1/13/2018,0,M055,M005,,,
4,2018,7/11/2018,1,M135,M247,,,
4,2019,9/16/2019,0,M213,,,,
3,2019,8/7/2019,1,M078,M044,M005,M026,
4,2016,4/24/2016,1,M123,,,,
2,2017,8/23/2017,0,M466,,M484,M417,
3,2017,9/20/2017,0,M237,M013,,,
3,2019,3/18/2019,1,M494,,,,
4,2018,11/29/2018,0,M210,M232,,,
4,2016,6/19/2016,1,M059,,,,
4,2015,9/26/2015,0,M170,,,,
4,2017,9/16/2017,1,M554,,,,
3,2017,7/14/2017,0,M044,M079,,,
4,2019,3/1/2019,1,M040,,,,
3,2019,9/16/2019,1,M003,M086,,,
3,2018,6/14/2018,1,M042,M005,M048,,
3,2016,8/11/2016,1,M005,,,,
3,2018,9/28/2018,1,M018,M041,M022,,
3,2018,7/1/2018,0,M011,,,,
4,2018,4/6/2018,0,M228,,,,
1,2017,10/11/2017,0,M394,,,,
1,2017,2/2/2017,1,M282,M351,,,
1,2017,5/8/2017,1,M343,,,,
1,2018,5/12/2018,0,M300,,,,
1,2017,3/14/2017,1,M391,,,,
3,2016,11/17/2016,1,M051,,,,
4,2016,12/20/2016,0,M132,,,,
2,2015,7/28/2015,1,M429,,,,
4,2017,6/15/2017,1,M238,,,,
3,2017,9/16/2017,1,M494,M020,M376,,
4,2017,4/12/2017,0,M249,,,,
4,2014,10/9/2014,1,M171,,,,
4,2014,9/14/2014,1,M191,,,,
3,2019,9/11/2019,1,M053,M113,M079,,
3,2018,1/19/2018,0,M060,M446,M011,,
2,2015,8/16/2015,0,M490,,,,
4,2018,10/1/2018,0,M226,M174,,,
4,2017,7/12/2017,0,M547,M553,,,
4,2018,7/30/2018,1,M154,,,,
3,2017,9/19/2017,0,M025,M074,,,
3,2016,9/9/2016,1,M030,,,,
4,2016,9/12/2016,0,M179,,,,
3,2018,4/15/2018,1,M035,M053,M044,,
1,2015,4/11/2015,0,M270,,,,
3,2017,7/7/2017,1,M067,,,,
3,2018,6/22/2018,0,M010,,,,
3,2018,1/27/2018,1,M051,,,,
1,2015,9/15/2015,0,M302,,,,
4,2018,6/21/2018,0,M215,,,,
3,2015,10/4/2015,0,M013,,M019,,
4,2018,8/2/2018,1,M154,,,,
1,2016,3/3/2016,1,M323,,,,
3,2018,5/19/2018,0,M008,M071,,,
4,2015,6/24/2015,1,M123,,,,
1,2014,10/7/2014,0,M319,,,,
4,2018,5/31/2018,1,M239,,,,
1,2014,9/10/2014,0,M252,,,,
4,2018,5/2/2018,0,M553,,,,
3,2017,9/24/2017,0,M079,M086,M033,M010,M027
4,2017,2/15/2017,1,M232,,,,
3,2019,8/22/2019,1,M062,M005,,,
4,2017,1/24/2017,1,M129,,,,
1,2015,1/26/2015,1,M359,,,,
4,2015,6/15/2015,0,M228,,,,
3,2015,5/30/2015,0,M006,,,,
4,2019,8/24/2019,1,M218,,,,
4,2017,9/2/2017,1,M134,,,,
4,2018,8/28/2018,0,M228,,,,
3,2018,3/22/2018,1,M100,,,,
3,2017,5/23/2017,0,M079,,,,
1,2017,5/4/2017,1,M258,,,,
3,2016,10/8/2016,0,M034,,,,
3,2018,7/16/2018,0,M081,,,,
2,2017,9/20/2017,1,M476,,,,
4,2018,11/28/2018,0,M122,M208,,,
3,2018,9/5/2018,0,M060,M086,M113,,
1,2016,1/26/2016,0,M294,,M341,,
4,2018,1/18/2018,0,M213,,,,
1,2015,6/21/2015,1,M284,,,,
4,2016,4/22/2016,1,M130,,,,
4,2015,6/8/2015,1,M149,,,,
3,2015,6/13/2015,0,M004,,,,
4,2017,4/24/2017,1,M387,M159,,,
4,2016,8/10/2016,0,M179,,M120,M140,
4,2019,6/11/2019,1,M135,,,,
4,2018,1/2/2018,0,M227,,,,
3,2017,6/6/2017,1,M098,,M014,,
4,2018,11/1/2018,1,M129,,,,
1,2014,2/10/2014,0,M357,,,,
4,2019,8/24/2019,1,M218,M186,M148,,
3,2017,8/30/2017,0,M011,M091,,,
4,2018,8/10/2018,0,M233,,,,
4,2018,7/9/2018,0,M237,,,,
1,2018,7/31/2018,1,M273,,M372,,
2,2015,7/26/2015,1,M432,,,,
1,2016,2/23/2016,0,M332,,M263,,
4,2018,3/31/2018,0,M179,M163,M120,,
4,2017,6/16/2017,1,M150,,,,
4,2016,5/9/2016,0,M147,,,,
1,2015,3/31/2015,0,M300,,,,
4,2018,9/26/2018,1,M550,,,,
4,2019,3/8/2019,1,M157,,,,
1,2016,7/23/2016,0,M205,,,,
3,2019,7/20/2019,1,M027,M017,M113,M053,
4,2015,9/7/2015,0,M180,,,,
4,2019,6/15/2019,1,M158,,,,
4,2018,1/21/2018,1,M163,,,,
4,2018,4/20/2018,0,M227,M135,,,
3,2019,7/7/2019,0,M091,M021,M113,,
4,2017,4/20/2017,0,M233,,,,
4,2018,1/19/2018,0,M203,,,,
3,2017,8/23/2017,1,M053,M091,M104,M003,M074
1,2017,9/2/2017,0,M354,,,,
4,2017,5/12/2017,0,M153,,,,
3,2017,12/18/2017,0,M036,,,,
3,2016,7/24/2016,1,M030,,,,
3,2017,9/18/2017,0,M081,,,,
4,2015,4/4/2015,0,M156,,,,
4,2014,3/29/2014,0,M140,,,,
4,2014,6/1/2014,0,M090,,,,
4,2017,4/25/2017,1,M557,,,,
1,2016,10/30/2016,0,M319,,,,
4,2017,4/3/2017,0,M167,,,,
1,2016,6/9/2016,0,M319,,,,
4,2019,1/10/2019,0,M249,M170,,,
2,2016,8/16/2016,0,M416,,,,
3,2018,1/24/2018,1,M021,M052,M042,,
4,2015,10/12/2015,0,M122,,,,
3,2013,8/5/2013,0,M008,,,,
4,2017,7/20/2017,1,M143,,,,
3,2017,9/25/2017,0,M036,M014,M080,M081,M090
2,2015,6/17/2015,1,M417,,M219,,
3,2017,4/1/2017,1,M017,,,,
3,2018,6/30/2018,0,M025,M022,,,
4,2017,3/1/2017,1,M232,,,,
2,2015,7/21/2015,0,M446,,,,
1,2016,6/16/2016,0,M330,,,,
3,2019,3/23/2019,0,M014,,,,
4,2019,6/6/2019,1,M129,M203,M554,M130,
3,2014,4/21/2014,1,M018,,,,
3,2017,10/1/2017,1,M030,M104,,,
3,2019,2/1/2019,0,M091,M053,M021,,
2,2017,8/27/2017,0,M447,,M429,,
4,2016,9/27/2016,0,M152,,,,
4,2019,2/13/2019,0,M132,,,,
3,2016,3/18/2016,0,M019,,M003,,
3,2016,4/16/2016,0,M056,,,,
3,2016,12/20/2016,0,M036,,,,
1,2018,3/22/2018,0,M357,,,,
3,2015,8/21/2015,1,M049,,M005,,
3,2019,6/15/2019,0,M086,M017,M034,,
3,2017,7/1/2017,0,M044,M017,M053,M091,M021
4,2018,3/5/2018,1,M549,,,,
4,2016,3/2/2016,0,M212,,,,
3,2015,7/26/2015,0,M029,,,,
1,2016,7/29/2016,1,M313,M304,,,
3,2018,6/19/2018,0,M033,,,,
3,2019,3/8/2019,0,M060,M071,M338,,
4,2014,4/22/2014,0,M142,,,,
1,2015,5/17/2015,0,M366,,,,
3,2017,2/6/2017,1,M048,M074,,,
3,2017,7/16/2017,1,M048,M076,,,
4,2019,2/9/2019,1,M239,,,,
3,2018,8/1/2018,0,M110,M252,,,
1,2016,3/30/2016,0,M291,,,,
2,2016,10/5/2016,1,M472,M477,,,
1,2017,9/16/2017,0,M276,,,,
3,2018,6/28/2018,1,M338,M034,M376,,
4,2017,9/20/2017,0,M120,M201,,,
4,2019,6/9/2019,1,M545,,,,
4,2018,10/31/2018,1,M144,,,,
3,2019,8/19/2019,1,M498,M075,,,
4,2018,12/11/2018,1,M124,,,,
3,2013,10/2/2013,1,M012,,,,
1,2016,3/25/2016,1,M313,,,,
1,2014,6/28/2014,0,M337,,,,
4,2018,1/23/2018,0,M186,,,,
3,2017,8/29/2017,0,M104,M027,M017,,
3,2018,2/4/2018,1,M067,M081,,,
2,2013,4/30/2013,1,M428,,M426,M453,
3,2017,9/27/2017,1,M047,M072,M110,M252,
4,2017,4/1/2017,1,M218,,,,
1,2015,6/18/2015,0,M386,,,,
4,2017,11/30/2017,0,M050,,,,
1,2014,8/14/2014,0,M291,,,,
3,2018,8/30/2018,1,M082,M002,,,
4,2018,4/6/2018,1,M144,,,,
3,2019,8/11/2019,0,M091,M022,M016,M060,
4,2018,2/23/2018,0,M249,,,,
3,2015,5/31/2015,0,M033,,M044,M042,
4,2016,4/28/2016,1,M144,,,,
3,2017,1/11/2017,0,M025,M496,,,
1,2017,2/10/2017,0,M370,,,,
4,2019,1/9/2019,1,M129,,,,
1,2014,8/17/2014,0,M336,,,,
4,2015,9/15/2015,0,M161,,M149,,
4,2016,12/5/2016,0,M174,,,,
4,2018,3/27/2018,0,M132,,,,
3,2019,2/24/2019,0,M033,M091,M053,,
3,2018,3/9/2018,1,M078,M047,M034,,
1,2018,3/21/2018,0,M140,,,,
3,2017,10/4/2017,1,M005,M093,,,
3,2015,6/1/2015,1,M043,,,,
3,2017,3/9/2017,1,M035,M082,M014,,
1,2016,3/22/2016,0,M367,,,,
4,2017,7/20/2017,1,M154,,,,
4,2019,5/31/2019,0,M222,,,,
3,2018,4/1/2018,1,M346,,,,
4,2016,3/15/2016,1,M223,,,,
1,2015,9/8/2015,1,M335,,,,
4,2017,6/16/2017,0,M156,,,,
4,2018,8/16/2018,0,M235,,,,
3,2019,4/15/2019,1,M042,,,,
3,2019,9/18/2019,1,M047,M081,,,
4,2017,3/6/2017,1,M239,,,,
4,2017,3/27/2017,1,M155,,,,
4,2015,5/17/2015,0,M192,,,,
4,2014,5/4/2014,0,M122,,,,
3,2017,8/13/2017,1,M016,M026,M086,,
4,2015,4/5/2015,1,M187,,,,
4,2018,3/30/2018,1,M247,,,,
4,2017,7/9/2017,1,M247,,,,
3,2017,3/17/2017,0,M376,M047,,,
4,2017,4/11/2017,0,M167,,,,
4,2018,4/24/2018,0,M209,M231,,,
1,2015,6/8/2015,0,M319,,,,
4,2018,5/5/2018,1,M157,,,,
4,2018,5/30/2018,0,M147,,,,
4,2017,4/19/2017,1,M149,,,,
3,2017,8/12/2017,1,M063,,,,
3,2018,9/20/2018,0,M025,M034,,,
4,2016,6/29/2016,1,M166,,,,
3,2017,4/14/2017,1,M048,M074,M071,M077,M104
4,2016,7/19/2016,0,M151,,,,
3,2013,8/26/2013,0,M008,,,,
1,2015,6/6/2015,0,M333,,,,
3,2019,7/9/2019,1,M338,M009,M041,,
3,2019,7/20/2019,0,M010,M022,M021,,
1,2016,9/23/2016,1,M346,,,,
4,2017,7/7/2017,1,M157,,,,
3,2015,7/25/2015,0,M014,,,,
3,2017,12/14/2017,1,M016,,,,
3,2017,3/20/2017,1,M051,M060,,,
4,2019,4/3/2019,0,M148,,,,
4,2016,9/8/2016,1,M214,M208,,,
1,2016,8/9/2016,1,M341,,,,
4,2017,7/1/2017,1,M558,,,,
1,2016,2/21/2016,0,M337,,M340,,
3,2017,4/27/2017,1,M035,M033,,,
3,2018,2/2/2018,0,M090,M496,,,
4,2018,8/30/2018,1,M124,,,,
4,2018,8/20/2018,1,M124,M175,,,
4,2019,7/3/2019,1,M158,M550,,,
4,2017,2/1/2017,1,M166,M182,,,
4,2017,5/2/2017,1,M158,,,,
4,2017,3/15/2017,0,M235,,,,
4,2018,7/29/2018,0,M240,M135,,,
1,2014,8/19/2014,0,M312,,,,
4,2016,5/5/2016,0,M195,,,,
4,2019,4/4/2019,0,M245,,,,
4,2019,9/18/2019,0,M174,M548,M159,M120,
4,2018,7/1/2018,0,M233,,,,
4,2018,1/25/2018,1,M129,M125,,,
3,2017,5/21/2017,1,M072,M495,,,
3,2018,4/5/2018,1,M053,M091,M021,,
3,2017,7/25/2017,0,M020,M027,,,
1,2015,3/19/2015,0,M354,,M338,,
4,2019,5/16/2019,1,M137,,,,
4,2019,1/15/2019,1,M129,,,,
3,2017,1/16/2017,1,M075,M113,,,
3,2019,7/6/2019,0,M090,M017,M104,,
3,2019,2/15/2019,1,M021,,,,
1,2017,2/7/2017,1,M282,,M389,M443,
2,2014,4/8/2014,0,M446,,,,
4,2016,4/4/2016,1,M121,,,,
3,2019,8/20/2019,1,M077,M080,M030,,
2,2017,9/28/2017,1,M477,,M439,,
1,2018,4/4/2018,1,M346,,,,
1,2015,9/21/2015,1,M304,,,,
1,2016,2/27/2016,1,M012,,,,
4,2017,5/3/2017,0,M161,M236,,,
3,2017,8/13/2017,1,M072,M011,,,
4,2019,4/23/2019,0,M151,,,,
3,2017,6/12/2017,1,M071,,,,
4,2018,5/25/2018,0,M202,,,,
4,2018,5/24/2018,1,M157,,,,
4,2018,5/10/2018,0,M240,,,,
1,2018,4/24/2018,0,M404,,,,
3,2018,4/1/2018,0,M036,M071,,,
3,2017,4/28/2017,1,M100,M048,M052,,
3,2018,9/22/2018,1,M018,M009,M081,,
4,2016,6/25/2016,0,M140,,,,
4,2016,9/2/2016,1,M139,,,,
3,2018,4/4/2018,1,M021,M032,,,
3,2018,7/6/2018,0,M022,M498,,,
3,2017,4/18/2017,1,M030,,,,
4,2018,4/17/2018,1,M387,,,,
3,2018,10/5/2018,0,M036,,,,
3,2017,8/22/2017,0,M022,M020,,,
3,2015,3/2/2015,0,M029,,,,
4,2017,5/17/2017,1,M040,,,,
2,2013,6/10/2013,0,M447,,,,
3,2018,6/19/2018,0,M073,M047,M252,,
4,2017,5/2/2017,1,M154,,,,
3,2013,9/26/2013,1,M012,,,,
4,2018,1/29/2018,0,M125,,,,
3,2016,4/10/2016,1,M017,,,,
4,2017,4/1/2017,0,M222,,,,
3,2018,4/10/2018,0,M060,M034,,,
2,2013,6/17/2013,0,M447,,,,
1,2017,3/25/2017,1,M306,,,,
1,2015,10/2/2015,1,M346,,,,
4,2019,3/8/2019,0,M229,,,,
4,2019,9/30/2019,0,M233,,,,
2,2013,4/23/2013,0,M425,,,,
4,2017,4/29/2017,0,M222,,,,
4,2019,4/8/2019,1,M158,,,,
3,2017,8/8/2017,0,M092,,M016,M073,
1,2015,9/27/2015,0,M302,,,,
3,2019,3/30/2019,1,M053,,,,
4,2017,10/2/2017,1,M158,M548,M159,,
3,2019,3/29/2019,0,M081,M005,,,
1,2014,4/12/2014,0,M277,,,,
1,2016,1/28/2016,0,M414,,,,
4,2017,8/20/2017,0,M170,,,,
4,2017,9/28/2017,1,M166,M247,,,
2,2013,5/26/2013,1,M418,,M428,,
3,2018,5/20/2018,0,M020,M082,,,
1,2016,10/13/2016,0,M259,,,,
1,2015,2/19/2015,0,M266,,,,
3,2019,10/1/2019,1,M047,,,,
4,2017,7/18/2017,1,M139,M184,M211,,
3,2018,1/16/2018,0,M044,M091,M090,,
3,2017,9/16/2017,0,M376,M104,,,
4,2017,2/14/2017,0,M226,,,,
4,2019,4/4/2019,0,M242,,,,
1,2015,3/7/2015,0,M276,,,,
4,2017,5/23/2017,1,M137,,,,
3,2016,12/22/2016,0,M080,M055,M003,,
3,2015,10/6/2015,1,M035,,,,
4,2017,2/14/2017,1,M214,M123,,,
1,2016,8/9/2016,1,M344,,M286,,
3,2019,5/21/2019,1,M072,M110,,,
4,2017,6/24/2017,1,M387,,,,
4,2015,4/10/2015,0,M167,,,,
4,2017,5/18/2017,1,M216,,,,
4,2017,4/9/2017,0,M152,M159,M158,M123,M131
1,2016,5/18/2016,1,M344,,,,
4,2017,9/19/2017,1,M182,M166,,,
3,2018,6/14/2018,0,M110,,,,
4,2019,7/9/2019,0,M175,,,,
3,2017,7/17/2017,0,M376,M080,,,
4,2019,7/18/2019,0,M125,,,,
3,2014,5/6/2014,0,M029,,,,
